VARIABLES = "x (m)" "y (m)" phi
ZONE I=51 J=21 
0.280000 0.220000 2.52736
0.290000 0.220000 2.47133
0.300000 0.220000 2.41444
0.310000 0.220000 2.35686
0.320000 0.220000 2.29883
0.330000 0.220000 2.24065
0.340000 0.220000 2.18272
0.350000 0.220000 2.12545
0.360000 0.220000 2.06931
0.370000 0.220000 2.01478
0.380000 0.220000 1.96236
0.390000 0.220000 1.91251
0.400000 0.220000 1.86569
0.410000 0.220000 1.82234
0.420000 0.220000 1.78283
0.430000 0.220000 1.74751
0.440000 0.220000 1.71669
0.450000 0.220000 1.69062
0.460000 0.220000 1.66951
0.470000 0.220000 1.65354
0.480000 0.220000 1.64283
0.490000 0.220000 1.63745
0.500000 0.220000 1.63745
0.00000 0.240000 5.26416
0.0100000 0.240000 5.07326
0.0200000 0.240000 4.89388
0.0300000 0.240000 4.72592
0.0400000 0.240000 4.56923
0.0500000 0.240000 4.42358
0.0600000 0.240000 4.28871
0.0700000 0.240000 4.16426
0.0800000 0.240000 4.04984
0.0900000 0.240000 3.94496
0.100000 0.240000 3.84908
0.110000 0.240000 3.76159
0.120000 0.240000 3.68180
0.130000 0.240000 3.60897
0.140000 0.240000 3.54231
0.150000 0.240000 3.48096
0.160000 0.240000 3.42406
0.170000 0.240000 3.37073
0.180000 0.240000 3.32011
0.190000 0.240000 3.27134
0.200000 0.240000 3.22366
0.210000 0.240000 3.17632
0.220000 0.240000 3.12870
0.230000 0.240000 3.08022
0.240000 0.240000 3.03041
0.250000 0.240000 2.97887
0.260000 0.240000 2.92533
0.270000 0.240000 2.86960
0.280000 0.240000 2.81158
0.290000 0.240000 2.75132
0.300000 0.240000 2.68895
0.310000 0.240000 2.62473
0.320000 0.240000 2.55903
0.330000 0.240000 2.49233
0.340000 0.240000 2.42520
0.350000 0.240000 2.35828
0.360000 0.240000 2.29222
0.370000 0.240000 2.22775
0.380000 0.240000 2.16553
0.390000 0.240000 2.10622
0.400000 0.240000 2.05045
0.410000 0.240000 1.99876
0.420000 0.240000 1.95165
0.430000 0.240000 1.90955
0.440000 0.240000 1.87282
0.450000 0.240000 1.84178
0.460000 0.240000 1.81666
0.470000 0.240000 1.79767
0.480000 0.240000 1.78493
0.490000 0.240000 1.77854
0.500000 0.240000 1.77854
0.00000 0.260000 5.40159
0.0100000 0.260000 5.21074
0.0200000 0.260000 5.03253
0.0300000 0.260000 4.86684
0.0400000 0.260000 4.71353
0.0500000 0.260000 4.57236
0.0600000 0.260000 4.44304
0.0700000 0.260000 4.32523
0.0800000 0.260000 4.21846
0.0900000 0.260000 4.12224
0.100000 0.260000 4.03594
0.110000 0.260000 3.95886
0.120000 0.260000 3.89020
0.130000 0.260000 3.82906
0.140000 0.260000 3.77445
0.150000 0.260000 3.72529
0.160000 0.260000 3.68048
0.170000 0.260000 3.63887
0.180000 0.260000 3.59933
0.190000 0.260000 3.56080
0.200000 0.260000 3.52227
0.210000 0.260000 3.48286
0.220000 0.260000 3.44176
0.230000 0.260000 3.39831
0.240000 0.260000 3.35195
0.250000 0.260000 3.30222
0.260000 0.260000 3.24879
0.270000 0.260000 3.19145
0.280000 0.260000 3.13009
0.290000 0.260000 3.06477
0.300000 0.260000 2.99569
0.310000 0.260000 2.92321
0.320000 0.260000 2.84788
0.330000 0.260000 2.77037
0.340000 0.260000 2.69152
0.350000 0.260000 2.61227
0.360000 0.260000 2.53362
0.370000 0.260000 2.45654
0.380000 0.260000 2.38202
0.390000 0.260000 2.31093
0.400000 0.260000 2.24410
0.410000 0.260000 2.18222
0.420000 0.260000 2.12591
0.430000 0.260000 2.07567
0.440000 0.260000 2.03192
0.450000 0.260000 1.99499
0.460000 0.260000 1.96517
0.470000 0.260000 1.94264
0.480000 0.260000 1.92754
0.490000 0.260000 1.91997
0.500000 0.260000 1.91997
0.00000 0.280000 5.53412
0.0100000 0.280000 5.34330
0.0200000 0.280000 5.16634
0.0300000 0.280000 5.00317
0.0400000 0.280000 4.85361
0.0500000 0.280000 4.71746
0.0600000 0.280000 4.59444
0.0700000 0.280000 4.48420
0.0800000 0.280000 4.38631
0.0900000 0.280000 4.30024
0.100000 0.280000 4.22533
0.110000 0.280000 4.16083
0.120000 0.280000 4.10580
0.130000 0.280000 4.05918
0.140000 0.280000 4.01974
0.150000 0.280000 3.98612
0.160000 0.280000 3.95683
0.170000 0.280000 3.93035
0.180000 0.280000 3.90518
0.190000 0.280000 3.87988
0.200000 0.280000 3.85318
0.210000 0.280000 3.82398
0.220000 0.280000 3.79134
0.230000 0.280000 3.75448
0.240000 0.280000 3.71276
0.250000 0.280000 3.66566
0.260000 0.280000 3.61279
0.270000 0.280000 3.55385
0.280000 0.280000 3.48869
0.290000 0.280000 3.41733
0.300000 0.280000 3.33996
0.310000 0.280000 3.25705
0.320000 0.280000 3.16931
0.330000 0.280000 3.07773
0.340000 0.280000 2.98354
0.350000 0.280000 2.88815
0.360000 0.280000 2.79307
0.370000 0.280000 2.69974
0.380000 0.280000 2.60952
0.390000 0.280000 2.52364
0.400000 0.280000 2.44311
0.410000 0.280000 2.36881
0.420000 0.280000 2.30142
0.430000 0.280000 2.24152
0.440000 0.280000 2.18953
0.450000 0.280000 2.14578
0.460000 0.280000 2.11053
0.470000 0.280000 2.08396
0.480000 0.280000 2.06618
0.490000 0.280000 2.05727
0.500000 0.280000 2.05727
0.00000 0.300000 5.65687
0.0100000 0.300000 5.46605
0.0200000 0.300000 5.29044
0.0300000 0.300000 5.12993
0.0400000 0.300000 4.98442
0.0500000 0.300000 4.85372
0.0600000 0.300000 4.73762
0.0700000 0.300000 4.63582
0.0800000 0.300000 4.54796
0.0900000 0.300000 4.47357
0.100000 0.300000 4.41203
0.110000 0.300000 4.36258
0.120000 0.300000 4.32424
0.130000 0.300000 4.29578
0.140000 0.300000 4.27571
0.150000 0.300000 4.26225
0.160000 0.300000 4.25336
0.170000 0.300000 4.24685
0.180000 0.300000 4.24057
0.190000 0.300000 4.23254
0.200000 0.300000 4.22111
0.210000 0.300000 4.20497
0.220000 0.300000 4.18310
0.230000 0.300000 4.15470
0.240000 0.300000 4.11911
0.250000 0.300000 4.07577
0.260000 0.300000 4.02421
0.270000 0.300000 3.96399
0.280000 0.300000 3.89479
0.290000 0.300000 3.81644
